1,Ryzen 7 4700G,Renoir,8 / 16,3.6 to 4.4 GHz,Socket AM4,7 nm,8MB,65 W,Jul 21st 2020
2,Ryzen 7 4700GE,Renoir,8 / 16,3.1 to 4.3 GHz,Socket AM4,7 nm,8MB,35 W,Jul 21st 2020
3,Ryzen 7 5700G,Cezanne,8 / 16,3.8 to 4.6 GHz,Socket AM4,7 nm,16MB,65 W,Apr 13th 2021
4,Ryzen 7 5800G,Cezanne,8 / 16,3.8 to 4.8 GHz,Socket AM4,7 nm,16MB,65 W,Unknown
5,Ryzen 7 5800X,Vermeer,8 / 16,3.8 to 4.7 GHz,Socket AM4,7 nm,32MB,105 W,Nov 5th 2020
6,Ryzen 7 PRO 4750G,Renoir,8 / 16,3.6 to 4.4 GHz,Socket AM4,7 nm,8MB,65 W,Jul 21st 2020
7,Ryzen 7 PRO 4750GE,Renoir,8 / 16,3.1 to 4.3 GHz,Socket AM4,7 nm,8MB,35 W,Jul 21st 2020
8,Ryzen 9 5900X,Vermeer,12 / 24,3.7 to 4.8 GHz,Socket AM4,7 nm,64MB,105 W,Nov 5th 2020
9,Ryzen 9 5950X,Vermeer,16 / 32,3.4 to 4.9 GHz,Socket AM4,7 nm,64MB,105 W,Nov 5th 2020LOL,LOL,LOL,LOL,LOL,LOL,LOL,LOL,LOL

L,L,L,L,L,L,L,L,L
