1,Core i5-11400,Rocket Lake,6 / 12,2.6 to 4.4 GHz,Socket 1200,14 nm,12MB,65 W,Mar 16th 2021,Rs 17000
2,Core i5-11400F,Rocket Lake,6 / 12,2.6 to 4.4 GHz,Socket 1200,14 nm,12MB,65 W,Mar 16th 2021,Rs 13050
3,Core i5-11400T,Rocket Lake,6 / 12,1.3 to 3.7 GHz,Socket 1200,14 nm,12MB,35 W,Mar 16th 2021,Rs 13500
4,Core i5-11500,Rocket Lake,6 / 12,2.7 to 4.6 GHz,Socket 1200,14 nm,12MB,65 W,Mar 16th 2021,Rs 16638
5,Core i5-11500T,Rocket Lake,6 / 12,1.5 to 3.9 GHz,Socket 1200,14 nm,12MB,35 W,Mar 16th 2021,Rs 11300
6,Core i5-11600,Rocket Lake,6 / 12,2.8 to 4.8 GHz,Socket 1200,14 nm,12MB,65 W,Mar 16th 2021,Rs 16638
7,Core i5-11600K,Rocket Lake,6 / 12,3.9 to 4.9 GHz,Socket 1200,14 nm,12MB,125 W,Mar 16th 2021,Rs 22179
8,Core i5-11600KF,Rocket Lake,6 / 12,3.9 to 4.9 GHz,Socket 1200,14 nm,12MB,125 W,Mar 16th 2021,Rs 20059
9,Core i5-11600T,Rocket Lake,6 / 12,1.7 to 4.1 GHz,Socket 1200,14 nm,12MB,35 W,Mar 16th 2021,Rs 16000
10,Core i5-12600K,Alder Lake,10 / 16,3.7 to 4.9 GHz,Socket 1700,10 nm,20MB,125 W,Nov 4th 2021,Rs 23000
11,Core i5-12600KF,Alder Lake,10 / 16,3.7 to 4.9 GHz,Socket 1700,10 nm,20MB,125 W,Nov 4th 2021,Rs 22122
